City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
3,Atuona,PF,78.78,light rain,-9.8,-139.0333,Villa Enata
5,Nelson Bay,AU,81.95,heavy intensity rain,-32.7167,152.15,Mantra Nelson Bay
7,Bambous Virieux,MU,89.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
8,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
9,Cockburn Town,TC,78.33,clear sky,21.4612,-71.1419,Osprey Beach Hotel
11,Mataura,NZ,72.57,broken clouds,-46.1927,168.8643,Ellie's Villa
12,Butaritari,KI,82.54,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
14,Mackay,AU,85.05,light rain,-21.15,149.2,International Lodge Motel
16,Kruisfontein,ZA,72.88,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
18,Batticaloa,LK,81.57,broken clouds,7.7102,81.6924,Grand Star Guest House
21,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
25,Malmesbury,ZA,71.55,clear sky,-33.4608,18.7271,SuNel's Guest Rooms
26,Rikitea,PF,73.45,moderate rain,-23.1203,-134.9692,People ThankYou
30,Poum,NC,82.65,broken clouds,-20.2333,164.0167,Gîte kajeon
32,Hithadhoo,MV,81.99,broken clouds,-0.6,73.0833,Scoop Guest House
34,Port Alfred,ZA,75.45,broken clouds,-33.5906,26.891,The Halyards Hotel
35,Caravelas,BR,70.43,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
39,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
40,Port Elizabeth,ZA,75.09,few clouds,-33.918,25.5701,39 On Nile Guest House
45,Bengkulu,ID,84.9,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
49,Kapaa,US,73.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
53,Mae Hong Son,TH,82.54,few clouds,19.3003,97.9685,Baiyoke Chalet Hotel
54,East London,ZA,76.14,clear sky,-33.0153,27.9116,Tu Casa
60,Manali,IN,86.09,scattered clouds,13.1667,80.2667,Sarathy Lodge
66,Ahipara,NZ,72.28,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
70,Cape Town,ZA,72.88,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
74,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
79,Berbera,SO,77.67,few clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
84,Una,IN,79.72,scattered clouds,20.8167,71.0333,Hotel Harbhole
91,Whitianga,NZ,72.23,broken clouds,-36.8333,175.7,Beachside Resort Whitianga
95,Pauini,BR,75.27,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
98,Hambantota,LK,86.34,few clouds,6.1241,81.1185,Bungalow 63
103,Marsh Harbour,BS,72.1,clear sky,26.5412,-77.0636,Abaco Beach Resort
106,Saint-Philippe,RE,83.75,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
111,Koboko,UG,71.04,light rain,3.4136,30.9599,Hotel Diplomat
113,Cabrobo,BR,73.42,overcast clouds,-8.5142,-39.31,Hotel Limarques
116,Nizwa,OM,76.06,overcast clouds,22.9333,57.5333,Orient Apartments
122,Antalaha,MG,83.39,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
127,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
128,Mozarlandia,BR,70.75,scattered clouds,-14.7447,-50.5706,Hotel Santa Mônica
129,Porto Novo,BJ,78.62,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
136,Tinaquillo,VE,70.63,broken clouds,9.9186,-68.3047,Hotel Los Copihues
137,El Seibo,DO,70.86,few clouds,18.7641,-69.0375,Defensa Civil del Seibo
138,Saint-Joseph,RE,83.21,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
139,Trairi,BR,79.21,overcast clouds,-3.2778,-39.2689,janelas do mar
140,Ciudad Bolivar,VE,73.83,scattered clouds,8.1222,-63.5497,Hotel Edi
141,Carnarvon,AU,82.47,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
146,Jambi,ID,87.48,broken clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
