City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Basse,DE,52.5518,9.5069,19.63,87,0,5.75,clear sky
1,Touros,BR,-5.1989,-35.4608,79.7,86,99,5.32,overcast clouds
2,Nanortalik,GL,60.1432,-45.2371,31.42,73,91,16.28,overcast clouds
3,Atuona,PF,-9.8,-139.0333,78.78,75,18,16.53,light rain
4,Emba,KZ,48.8264,58.1442,5.16,80,17,7.9,few clouds
5,Nelson Bay,AU,-32.7167,152.15,81.95,73,35,1.99,heavy intensity rain
6,Lieksa,FI,63.3167,30.0167,14.34,88,100,12.46,overcast clouds
7,Bambous Virieux,MU,-20.3428,57.7575,89.85,58,75,12.66,broken clouds
8,Georgetown,MY,5.4112,100.3354,89.53,74,20,10.36,few clouds
9,Cockburn Town,TC,21.4612,-71.1419,78.33,74,1,10.78,clear sky
10,Chokurdakh,RU,70.6333,147.9167,-16.26,97,100,9.98,overcast clouds
11,Mataura,NZ,-46.1927,168.8643,72.57,48,54,8.63,broken clouds
12,Butaritari,KI,3.0707,172.7902,82.54,74,38,10.78,scattered clouds
13,Taltal,CL,-25.4,-70.4833,65.17,88,51,2.82,broken clouds
14,Mackay,AU,-21.15,149.2,85.05,71,100,4.83,light rain
15,Belyy Yar,RU,53.6039,91.3903,1.29,78,68,0.0,mist
16,Kruisfontein,ZA,-34.0033,24.7314,72.88,65,45,3.24,scattered clouds
17,Gorom-Gorom,BF,14.4439,-0.2361,71.64,12,100,7.43,overcast clouds
18,Batticaloa,LK,7.7102,81.6924,81.57,59,69,9.89,broken clouds
19,Punta Arenas,CL,-53.15,-70.9167,53.71,58,0,23.02,clear sky
20,Ilulissat,GL,69.2167,-51.1,30.22,40,19,16.11,few clouds
21,Vaini,TO,-21.2,-175.2,80.76,89,75,8.05,broken clouds
22,Kars,TR,40.602,43.095,9.45,85,0,3.44,clear sky
23,Jamestown,US,42.097,-79.2353,40.32,91,90,4.0,overcast clouds
24,Ushuaia,AR,-54.8,-68.3,53.26,50,40,5.75,scattered clouds
25,Malmesbury,ZA,-33.4608,18.7271,71.55,64,2,2.98,clear sky
26,Rikitea,PF,-23.1203,-134.9692,73.45,84,100,13.85,moderate rain
27,Albany,US,42.6001,-73.9662,40.51,93,100,18.01,overcast clouds
28,Provideniya,RU,64.3833,-173.3,13.26,95,100,11.7,snow
29,Hobart,AU,-42.8794,147.3294,63.1,66,75,1.99,broken clouds
30,Poum,NC,-20.2333,164.0167,82.65,74,63,12.66,broken clouds
31,Ponta Do Sol,PT,32.6667,-17.1,66.7,86,80,7.7,broken clouds
32,Hithadhoo,MV,-0.6,73.0833,81.99,71,72,12.95,broken clouds
33,Upernavik,GL,72.7868,-56.1549,4.98,99,100,9.08,overcast clouds
34,Port Alfred,ZA,-33.5906,26.891,75.45,73,80,15.9,broken clouds
35,Caravelas,BR,-17.7125,-39.2481,70.43,93,65,0.22,broken clouds
36,Yerofey Pavlovich,RU,53.9667,121.9667,-2.45,80,100,2.44,overcast clouds
37,Portland,US,45.5234,-122.6762,35.62,92,40,1.99,light snow
38,Hegang,CN,47.4,130.3667,-1.55,73,35,8.52,scattered clouds
39,Padang,ID,-0.9492,100.3543,86.05,71,90,7.0,overcast clouds
40,Port Elizabeth,ZA,-33.918,25.5701,75.09,78,20,3.44,few clouds
41,Grindavik,IS,63.8424,-22.4338,33.75,80,75,21.85,broken clouds
42,Half Moon Bay,US,37.4636,-122.4286,46.83,87,90,1.99,moderate rain
43,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,88,0,7.0,clear sky
44,Ust-Maya,RU,60.4167,134.5333,-46.26,99,95,1.25,overcast clouds
45,Bengkulu,ID,-3.8004,102.2655,84.9,68,59,9.1,broken clouds
46,Vardo,NO,70.3705,31.1107,28.42,70,100,23.47,light snow
47,Victoria,HK,22.2855,114.1577,62.26,73,100,7.0,overcast clouds
48,Ayan,RU,56.45,138.1667,-7.55,66,100,10.69,overcast clouds
49,Kapaa,US,22.0752,-159.319,73.72,78,1,16.11,light rain
50,Bluff,NZ,-46.6,168.3333,62.22,78,72,10.2,broken clouds
51,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,69,1,17.27,clear sky
52,Katsuura,JP,35.1333,140.3,45.1,51,79,4.43,broken clouds
53,Mae Hong Son,TH,19.3003,97.9685,82.54,51,20,2.3,few clouds
54,East London,ZA,-33.0153,27.9116,76.14,69,0,9.22,clear sky
55,Yellowknife,CA,62.456,-114.3525,-2.58,87,90,10.36,light snow
56,Lagoa,PT,39.05,-27.9833,62.26,78,88,40.85,overcast clouds
57,La Ronge,CA,55.1001,-105.2842,-27.18,68,1,3.44,clear sky
58,Tigil,RU,57.8,158.6667,-8.82,95,90,4.7,overcast clouds
59,Ust-Ishim,RU,57.6935,71.1665,-6.88,90,9,4.5,clear sky
60,Manali,IN,13.1667,80.2667,86.09,70,38,6.49,scattered clouds
61,Woodward,US,36.4337,-99.3904,51.03,60,1,11.5,clear sky
62,Sitka,US,57.0531,-135.33,19.29,58,40,4.61,scattered clouds
63,Longyearbyen,SJ,78.2186,15.6401,24.64,68,0,21.85,clear sky
64,Sobolevo,RU,54.4299,31.8996,19.69,91,98,17.43,overcast clouds
65,Ribeira Grande,PT,38.5167,-28.7,62.31,80,100,37.31,overcast clouds
66,Ahipara,NZ,-35.1667,173.1667,72.28,71,66,3.58,broken clouds
67,Luderitz,NA,-26.6481,15.1594,64.65,72,37,4.59,scattered clouds
68,Hilo,US,19.7297,-155.09,67.8,43,20,5.75,few clouds
69,Nouadhibou,MR,20.931,-17.0347,60.78,77,0,10.36,clear sky
70,Cape Town,ZA,-33.9258,18.4232,72.88,75,0,3.0,clear sky
71,Den Helder,NL,52.9599,4.7593,26.98,66,3,14.0,clear sky
72,Xilopolis,GR,40.9271,23.1794,45.93,79,100,1.79,overcast clouds
73,Atar,MR,20.5169,-13.0499,63.84,27,0,6.73,clear sky
74,Salalah,OM,17.0151,54.0924,77.09,61,0,3.44,clear sky
75,Katete,UG,-0.7818,29.7544,66.24,86,100,0.67,overcast clouds
76,Bredasdorp,ZA,-34.5322,20.0403,68.29,94,100,9.22,overcast clouds
77,Hurghada,EG,27.2574,33.8129,58.08,59,0,15.21,clear sky
78,Tasiilaq,GL,65.6145,-37.6368,19.56,57,0,7.72,clear sky
79,Berbera,SO,10.4396,45.0143,77.67,66,17,0.25,few clouds
